INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('21522', 'Edna O'Brien', '829', 'Irem Vokuhl', 1941);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('65443', 'The Road Less Traveled', '134', 'Prof. Dr. Merlin Vokuhl', 1927);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('70160', 'Wildfire at Midnight', '747', 'Denny von der Kosenkow', 2000);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('89376', 'Wildfire at Midnight', '541', 'Smilla zu Gollnow', 1953);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('74104', 'That Good Night', '332', 'Aaron Goller', 1927);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('02058', 'The Last Temptation', '762', 'Lucie vom Schottmann', 1971);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('21702', 'Cover Her Face', '353', 'Jolina Konow', 1914);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('08011', 'This Lime Tree Bower', '305', 'Lili Itt', 1943);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('15381', 'The Road Less Traveled', '935', 'Dr. Leonard Hense', 1961);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('73595', 'That Hideous Strength', '800', 'Nelli von Savoia', 1985);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('00329', 'A Handful of Dust', '608', 'Matteo Häber', 2007);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('21171', 'Let Us Now Praise Famous Men', '940', 'Nikolas Kutscherauer', 1990);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('40493', 'A Confederacy of Dunces', '111', 'Jayson von Stöwer', 1914);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('49774', 'If Not Now, When?', '323', 'Alfred Geyer', 1965);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('47724', 'Postern of Fate', '126', 'Julienne Liebach', 1978);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('81364', 'Taming a Sea Horse', '467', 'Andreas Roloff', 1907);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('13887', 'The House of Mirth', '820', 'Dr. Carina Rosenthal', 1925);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('27977', 'The Mirror Crack'd from Side to Side', '006', 'Leah Riester', 1934);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('01386', 'Many Waters', '238', 'Dr. Hauke Franzmann', 2011);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('30862', 'The Last Temptation', '531', 'Jimmy Schmuhl', 2006);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('97668', 'Butter In a Lordly Dish', '607', 'Nikita Eisenlauer', 1981);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('26446', 'The Way Through the Woods', '486', 'Steven Nowak', 1990);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('84270', 'Tiger! Tiger!', '838', 'Lucas Schniedermeier', 1984);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('18724', 'Beneath the Bleeding', '030', 'Lenya Diezel', 2005);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('33546', 'East of Eden', '365', 'Joost Sujew', 1945);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('42269', 'The Parliament of Man', '923', 'Corvin Umlauft', 1970);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('10103', 'The Heart Is Deceitful Above All Things', '020', 'Marius Burkhard', 1967);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('68586', 'The Soldier's Art', '645', 'Colleen Muller', 1935);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('35383', 'I Sing the Body Electric', '063', 'Alan Östringer', 2010);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('56388', 'Unweaving the Rainbow', '837', 'Alea Sonn', 1906);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('67057', 'Jesting Pilate', '836', 'Linda Nussbeck', 1995);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('77407', 'A Catskill Eagle', '782', 'Ariana Ganzmann', 1918);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('69154', 'Precious Bane', '785', 'Lukas Frohn', 1982);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('85088', 'Endless Night', '701', 'Kiana Stengl', 1941);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('62848', 'The Heart Is Deceitful Above All Things', '788', 'Prof. Dr. Len Hütter', 1986);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('73425', 'To a God Unknown', '858', 'Katarina von der Michel', 1980);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('38388', 'Fear and Trembling', '405', 'Bastian Herweg', 1995);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('92307', 'The Moon by Night', '125', 'Arian Klink', 1983);
INSERT INTO Comics (ComicID, Titel, SerieID, AutorID, Veröffentlichungsjahr) VALUES ('02613', 'No Highway', '533', 'Maurice Hasse', 2007);
